trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
5_I11-5_I11_00:02:00_2_1_5__C4___,22:02:00,22:02:00,par_5_4,0,,,,
5_I11-5_I11_00:02:00_2_1_5__C4___,22:04:00,22:04:00,par_5_85,1,,,,
5_I11-5_I11_00:02:00_2_1_5__C4___,22:07:00,22:07:00,par_5_84,2,,,,
5_I11-5_I11_00:02:00_2_1_5__C4___,22:09:00,22:09:00,par_5_15,3,,,,
5_I11-5_I11_00:02:00_2_1_5__C4___,22:15:00,22:15:00,par_5_31,4,,,,
5_I11-5_I11_00:02:00_2_1_5__C4___,22:21:00,22:21:00,par_5_18,5,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:14:00,22:14:00,par_5_142,0,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:18:00,22:18:00,par_5_144,1,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:23:00,22:23:00,par_5_133,2,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:28:00,22:28:00,par_5_18,3,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:33:00,22:33:00,par_5_51,4,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:37:00,22:37:00,par_5_65,5,,,,
5_I11-5_I11_00:14:00_2_74_5__C1___,22:41:00,22:41:00,par_5_11,6,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,02:57:00,02:57:00,par_5_11,0,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:01:00,03:01:00,par_5_122,1,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:06:00,03:06:00,par_5_51,2,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:11:00,03:11:00,par_5_18,3,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:16:00,03:16:00,par_5_31,4,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:21:00,03:21:00,par_5_15,5,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:23:00,03:23:00,par_5_84,6,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:26:00,03:26:00,par_5_85,7,,,,
5_I11-5_I11_04:57:00_1_2_5__C4___,03:29:00,03:29:00,par_5_4,8,,,,
5_I11-5_I11_05:00:00_1_1_5__C5___,03:00:00,03:00:00,par_5_49,0,,,,
5_I11-5_I11_05:00:00_1_1_5__C5___,03:02:00,03:02:00,par_5_48,1,,,,
5_I11-5_I11_05:00:00_1_1_5__C5___,03:04:00,03:04:00,par_5_66,2,,,,
5_I11-5_I11_05:00:00_1_1_5__C5___,03:06:00,03:06:00,par_5_5,3,,,,
