route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
5__C4___,5_I11,5_I11-5_I11_00:02:00_2_1_5__C4___,CHAMARTIN,S.Sebastián de los Reyes-Alcobendas-Cantoblanco-Chamartín-Atocha-Parla,1,,5__4_A___2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_00:14:00_2_74_5__C1___,ATOCHA,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C4___,5_I11,5_I11-5_I11_04:57:00_1_2_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,,5__4_A___1__IT_1,0
5__C5___,5_I11,5_I11-5_I11_05:00:00_1_1_5__C5___,HUMANES,Móstoles El Soto-Atocha-Fuenlabrada-Humanes,0,,5__5____1__IT_1,0
5__C2___,5_I11,5_I11-5_I11_05:00:00_1_163_5__C2___,CHAMARTIN,Guadalajara-Alcalá de Henares-Atocha-Chamartín,0,,5__2____1__IT_1,0
5__C2___,5_I11,5_I11-5_I11_05:00:00_2_60_5__C2___,GUADALAJARA,Chamartín-Atocha-Alcalá de Henares-Guadalajara,1,,5__2____2__IT_1,0
5__C4___,5_I11,5_I11-5_I11_05:05:00_1_146_5__C4___,COLMENAR VIEJO,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,,5__4_A___1__IT_1,0
5__C5___,5_I11,5_I11-5_I11_05:07:00_2_2_5__C5___,MOSTOLES EL SOTO,Humanes-Fuenlabrada-Atocha-Móstoles El Soto,1,,5__5____2__IT_1,0
5__C2___,5_I11,5_I11-5_I11_05:08:00_1_6_5__C2___,CHAMARTIN,Guadalajara-Alcalá de Henares-Atocha-Chamartín,0,,5__2____1__IT_1,0
5__C4___,5_I11,5_I11-5_I11_05:10:00_1_4_5__C4___,ALCOBENDAS-S.S. DE LOS REYES,Parla-Atocha-Chamartín-Cantoblanco-Alcobendas-S.Sebastián de los Reyes,0,,5__4_A___1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_05:15:00_1_1_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C5___,5_I11,5_I11-5_I11_05:15:00_1_3_5__C5___,HUMANES,Móstoles El Soto-Atocha-Fuenlabrada-Humanes,0,,5__5____1__IT_1,0
